state;action_reward;n_state
25&3|674&2|946&3|42&4|686&3|411&4|173&3|124&4|493&5|1451&5|47&4|568&3;1518&2|525&4|942&3|95&3;25&3|674&2|946&3|42&4|686&3|411&4|173&3|124&4|493&5|1451&5|47&4|568&3|1518&2|525&4|942&3|95&3
26&4|236&4|147&3|242&4|1194&5|512&5|305&4|256&3|863&5|1010&4|1038&3|30&4;750&4|343&2|1153&3|212&5;26&4|236&4|147&3|242&4|1194&5|512&5|305&4|256&3|863&5|1010&4|1038&3|30&4|750&4|343&2|1153&3|212&5
286&4|333&4|879&4|300&4|989&4|316&5|258&4|329&3|355&4|313&5|272&5|347&4;289&5|751&4|689&4|878&4;286&4|333&4|879&4|300&4|989&4|316&5|258&4|329&3|355&4|313&5|272&5|347&4|289&5|751&4|689&4|878&4
50&4|515&5|718&3|1079&2|511&4|96&4|477&3|9&4|518&4|467&4|117&4|530&4;70&3|488&4|31&3|273&4;50&4|515&5|718&3|1079&2|511&4|96&4|477&3|9&4|518&4|467&4|117&4|530&4|70&3|488&4|31&3|273&4
731&4|995&4|170&5|463&5|218&4|451&5|729&3|475&5|488&4|713&3|419&5|213&5;735&5|542&1|219&2|345&4;731&4|995&4|170&5|463&5|218&4|451&5|729&3|475&5|488&4|713&3|419&5|213&5|735&5|542&1|219&2|345&4
882&5|937&4|304&5|245&4|332&5|286&5|305&2|321&3|294&3|289&3|873&5|243&5;875&1|938&1|324&2|322&3;882&5|937&4|304&5|245&4|332&5|286&5|305&2|321&3|294&3|289&3|873&5|243&5|875&1|938&1|324&2|322&3
410&4|717&2|276&4|476&2|222&2|475&5|283&4|284&3|147&4|619&3|595&4|280&4;432&2|186&5|544&2|318&5;410&4|717&2|276&4|476&2|222&2|475&5|283&4|284&3|147&4|619&3|595&4|280&4|432&2|186&5|544&2|318&5
228&4|315&4|168&4|186&2|507&4|13&5|162&3|1203&5|432&5|405&5|211&4|208&5;1425&1|605&4|949&3|972&3;228&4|315&4|168&4|186&2|507&4|13&5|162&3|1203&5|432&5|405&5|211&4|208&5|1425&1|605&4|949&3|972&3
250&4|100&4|685&3|260&3|840&3|1&4|678&3|118&4|546&4|926&3|50&5|825&3;930&3|506&4|407&3|1052&4;250&4|100&4|685&3|260&3|840&3|1&4|678&3|118&4|546&4|926&3|50&5|825&3|930&3|506&4|407&3|1052&4
692&4|216&5|191&5|153&5|70&5|86&5|42&3|322&4|50&4|479&4|199&5|500&4;202&4|430&4|524&5|204&4;692&4|216&5|191&5|153&5|70&5|86&5|42&3|322&4|50&4|479&4|199&5|500&4|202&4|430&4|524&5|204&4
118&3|553&5|1148&4|124&4|241&4|972&4|664&3|9&5|1051&4|603&4|70&4|230&1;197&5|504&4|147&5|198&5;118&3|553&5|1148&4|124&4|241&4|972&4|664&3|9&5|1051&4|603&4|70&4|230&1|197&5|504&4|147&5|198&5
166&3|604&4|222&1|607&5|423&4|173&3|275&4|28&4|98&4|487&4|699&4|283&5;164&3|496&5|482&2|605&4;166&3|604&4|222&1|607&5|423&4|173&3|275&4|28&4|98&4|487&4|699&4|283&5|164&3|496&5|482&2|605&4
682&5|300&5|310&5|321&5|866&5|272&5|292&5|358&1|332&5|237&5|313&5|655&5;323&2|315&4|289&5|346&1;682&5|300&5|310&5|321&5|866&5|272&5|292&5|358&1|332&5|237&5|313&5|655&5|323&2|315&4|289&5|346&1
318&4|275&4|939&3|223&4|690&4|423&5|15&3|279&4|638&4|47&4|160&1|514&5;216&4|258&4|116&4|302&4;318&4|275&4|939&3|223&4|690&4|423&5|15&3|279&4|638&4|47&4|160&1|514&5|216&4|258&4|116&4|302&4
274&3|129&4|685&4|1047&2|748&5|222&5|181&4|1012&1|471&5|148&5|127&4|515&4;1199&2|760&1|472&4|476&4;274&3|129&4|685&4|1047&2|748&5|222&5|181&4|1012&1|471&5|148&5|127&4|515&4|1199&2|760&1|472&4|476&4
744&4|19&5|547&4|150&5|754&3|515&3|864&1|111&3|284&2|285&5|100&5|15&3;127&4|276&4|740&4|275&4;744&4|19&5|547&4|150&5|754&3|515&3|864&1|111&3|284&2|285&5|100&5|15&3|127&4|276&4|740&4|275&4
443&1|526&4|520&4|228&3|423&5|491&3|687&2|528&4|205&5|876&2|462&4|310&3;890&2|455&3|127&4|117&4;443&1|526&4|520&4|228&3|423&5|491&3|687&2|528&4|205&5|876&2|462&4|310&3|890&2|455&3|127&4|117&4
483&4|963&5|301&3|156&4|302&5|479&5|188&3|28&3|603&5|482&3|340&3|238&4;50&3|1&4|508&5|628&2;483&4|963&5|301&3|156&4|302&5|479&5|188&3|28&3|603&5|482&3|340&3|238&4|50&3|1&4|508&5|628&2
187&5|322&2|56&3|523&5|100&5|289&3|205&5|474&5|215&3|327&4|1500&5|195&4;403&4|135&5|232&3|64&4;187&5|322&2|56&3|523&5|100&5|289&3|205&5|474&5|215&3|327&4|1500&5|195&4|403&4|135&5|232&3|64&4
141&3|333&3|168&3|433&4|53&3|227&1|652&5|28&2|417&1|961&2|158&2|443&2;94&1|89&5|1157&1|1139&2;141&3|333&3|168&3|433&4|53&3|227&1|652&5|28&2|417&1|961&2|158&2|443&2|94&1|89&5|1157&1|1139&2
527&3|690&1|371&5|615&4|298&5|340&4|50&5|521&4|294&4|201&5|507&4|276&4;286&5|483&5|487&5|385&5;527&3|690&1|371&5|615&4|298&5|340&4|50&5|521&4|294&4|201&5|507&4|276&4|286&5|483&5|487&5|385&5
