state;action_reward;n_state
558&4|607&3|234&4|238&5|423&5|514&5|756&2|181&4|946&3|527&3|699&5|526&3;510&3|412&3|945&4|510&3|412&3|1518&2|199&5|997&3|386&3|715&3;558&4|607&3|234&4|238&5|423&5|514&5|756&2|181&4|946&3|527&3|699&5|526&3|510&3|412&3|945&4|510&3|412&3|1518&2|199&5|997&3|386&3|715&3
111&3|109&1|888&4|381&3|591&4|113&4|847&4|116&4|753&5|107&3|1038&3|256&3;702&4|1089&2|345&4|752&3|885&2|350&3|751&3|752&3|315&4|1153&3;111&3|109&1|888&4|381&3|591&4|113&4|847&4|116&4|753&5|107&3|1038&3|256&3|702&4|1089&2|345&4|752&3|885&2|350&3|751&3|752&3|315&4|1153&3
300&4|879&4|302&5|989&4|313&5|316&5|343&3|286&4|272&5|258&4|328&4|333&4;289&5|878&4|289&5|289&5|289&5|751&4|689&4|689&4|751&4|271&4;300&4|879&4|302&5|989&4|313&5|316&5|343&3|286&4|272&5|258&4|328&4|333&4|289&5|878&4|289&5|289&5|289&5|751&4|689&4|689&4|751&4|271&4
433&4|7&4|475&4|429&4|98&4|458&3|171&4|182&5|467&4|276&4|24&3|730&3;212&3|168&3|735&3|31&3|178&5|178&5|70&3|178&5|70&3|735&3;433&4|7&4|475&4|429&4|98&4|458&3|171&4|182&5|467&4|276&4|24&3|730&3|212&3|168&3|735&3|31&3|178&5|178&5|70&3|178&5|70&3|735&3
132&5|485&4|318&5|317&4|1115&4|258&4|82&3|432&4|1289&2|151&4|921&5|1170&3;248&5|281&3|272&5|1168&4|1466&4|961&5|219&2|315&4|155&4|909&4;132&5|485&4|318&5|317&4|1115&4|258&4|82&3|432&4|1289&2|151&4|921&5|1170&3|248&5|281&3|272&5|1168&4|1466&4|961&5|219&2|315&4|155&4|909&4
269&5|294&3|245&4|289&3|332&5|305&2|243&5|937&4|288&4|882&5|873&5|321&3;324&2|324&2|322&3|938&1|322&3|322&3|322&3|322&3|322&3|938&1;269&5|294&3|245&4|289&3|332&5|305&2|243&5|937&4|288&4|882&5|873&5|321&3|324&2|324&2|322&3|938&1|322&3|322&3|322&3|322&3|322&3|938&1
284&3|121&4|150&3|147&4|273&4|7&4|619&3|280&4|405&3|595&4|726&4|283&4;210&4|210&4|79&5|42&4|432&2|544&2|42&4|318&5|3&4|42&4;284&3|121&4|150&3|147&4|273&4|7&4|619&3|280&4|405&3|595&4|726&4|283&4|210&4|210&4|79&5|42&4|432&2|544&2|42&4|318&5|3&4|42&4
792&3|514&5|212&4|516&3|193&4|965&4|223&5|134&4|316&4|83&4|481&4|1449&5;1135&3|501&4|25&4|712&4|1425&1|501&4|225&2|94&4|436&3|605&4;792&3|514&5|212&4|516&3|193&4|965&4|223&5|134&4|316&4|83&4|481&4|1449&5|1135&3|501&4|25&4|712&4|1425&1|501&4|225&2|94&4|436&3|605&4
323&3|825&3|118&4|7&3|1615&2|926&3|515&5|259&4|264&3|678&3|827&2|181&4;841&4|407&3|568&4|826&3|820&4|841&4|506&4|122&1|122&1|841&4;323&3|825&3|118&4|7&3|1615&2|926&3|515&5|259&4|264&3|678&3|827&2|181&4|841&4|407&3|568&4|826&3|820&4|841&4|506&4|122&1|122&1|841&4
505&5|100&4|507&4|1089&3|198&4|70&5|678&3|322&4|650&3|1039&4|197&3|692&4;514&4|524&5|580&4|430&4|204&4|202&4|430&4|430&4|780&1|524&5;505&5|100&4|507&4|1089&3|198&4|70&5|678&3|322&4|650&3|1039&4|197&3|692&4|514&4|524&5|580&4|430&4|204&4|202&4|430&4|430&4|780&1|524&5
118&3|770&4|527&4|471&4|9&5|382&4|210&4|177&4|972&4|553&5|12&5|550&4;174&5|480&5|484&4|466&4|5&4|427&5|45&5|147&5|174&5|174&5;118&3|770&4|527&4|471&4|9&5|382&4|210&4|177&4|972&4|553&5|12&5|550&4|174&5|480&5|484&4|466&4|5&4|427&5|45&5|147&5|174&5|174&5
419&4|132&3|162&3|662&3|28&4|283&5|222&1|98&4|487&4|173&3|56&1|210&3;274&4|164&3|605&4|479&4|605&4|95&4|282&4|479&4|742&4|482&2;419&4|132&3|162&3|662&3|28&4|283&5|222&1|98&4|487&4|173&3|56&1|210&3|274&4|164&3|605&4|479&4|605&4|95&4|282&4|479&4|742&4|482&2
895&4|259&3|326&4|181&4|11&5|332&5|321&5|300&5|100&4|328&5|310&5|136&4;346&1|322&5|315&4|330&3|346&1|322&5|322&5|271&1|315&4|330&3;895&4|259&3|326&4|181&4|11&5|332&5|321&5|300&5|100&4|328&5|310&5|136&4|346&1|322&5|315&4|330&3|346&1|322&5|322&5|271&1|315&4|330&3
47&4|275&4|86&5|223&4|285&5|50&4|127&5|178&4|160&1|205&3|703&4|845&4;258&4|116&4|258&4|116&4|302&4|287&5|237&4|237&4|447&4|302&4;47&4|275&4|86&5|223&4|285&5|50&4|127&5|178&4|160&1|205&3|703&4|845&4|258&4|116&4|258&4|116&4|302&4|287&5|237&4|237&4|447&4|302&4
866&4|258&4|222&5|477&4|845&4|515&4|148&5|1&4|121&5|127&4|147&5|117&4;925&4|925&4|476&4|476&4|472&4|925&4|760&1|925&4|597&2|760&1;866&4|258&4|222&5|477&4|845&4|515&4|148&5|1&4|121&5|127&4|147&5|117&4|925&4|925&4|476&4|476&4|472&4|925&4|760&1|925&4|597&2|760&1
255&1|293&3|547&4|1014&3|116&5|124&5|19&5|591&3|546&1|676&4|237&3|130&1;286&5|275&4|275&4|287&4|221&4|475&4|127&4|248&4|740&4|475&4;255&1|293&3|547&4|1014&3|116&5|124&5|19&5|591&3|546&1|676&4|237&3|130&1|286&5|275&4|275&4|287&4|221&4|475&4|127&4|248&4|740&4|475&4
423&5|286&4|357&2|199&5|520&4|528&4|64&3|491&3|230&3|1025&3|705&4|462&4;300&2|455&3|455&3|263&3|890&2|300&2|181&1|263&3|455&3|127&4;423&5|286&4|357&2|199&5|520&4|528&4|64&3|491&3|230&3|1025&3|705&4|462&4|300&2|455&3|455&3|263&3|890&2|300&2|181&1|263&3|455&3|127&4
9&3|127&5|481&3|174&4|28&3|963&5|188&3|23&4|479&5|340&3|428&4|657&5;1&4|50&3|628&2|628&2|1&4|508&5|237&4|237&4|50&3|276&4;9&3|127&5|481&3|174&4|28&3|963&5|188&3|23&4|479&5|340&3|428&4|657&5|1&4|50&3|628&2|628&2|1&4|508&5|237&4|237&4|50&3|276&4
324&4|523&5|294&1|245&2|127&5|302&5|215&3|1500&5|289&3|318&3|327&4|191&4;50&5|210&4|181&5|403&4|172&5|210&4|50&5|172&5|87&4|50&5;324&4|523&5|294&1|245&2|127&5|302&5|215&3|1500&5|289&3|318&3|327&4|191&4|50&5|210&4|181&5|403&4|172&5|210&4|50&5|172&5|87&4|50&5
77&2|22&4|56&5|156&3|469&3|97&1|526&3|150&2|699&3|33&4|135&2|746&3;1157&1|1133&3|87&5|1614&3|1229&1|532&5|87&5|1473&3|50&5|356&2;77&2|22&4|56&5|156&3|469&3|97&1|526&3|150&2|699&3|33&4|135&2|746&3|1157&1|1133&3|87&5|1614&3|1229&1|532&5|87&5|1473&3|50&5|356&2
340&4|479&4|298&5|521&4|527&3|402&4|507&4|690&1|294&4|50&5|6&5|7&4;691&5|385&5|286&5|483&5|385&5|385&5|286&5|487&5|385&5|286&5;340&4|479&4|298&5|521&4|527&3|402&4|507&4|690&1|294&4|50&5|6&5|7&4|691&5|385&5|286&5|483&5|385&5|385&5|286&5|487&5|385&5|286&5
