state;action_reward;n_state
202&5|497&4|132&5|179&4|160&4|124&4|185&5|174&4|616&4|736&5|492&5|286&2;346&4|942&3|510&3|28&4;202&5|497&4|132&5|179&4|160&4|124&4|185&5|174&4|616&4|736&5|492&5|286&2|346&4|942&3|510&3|28&4
1038&3|271&2|166&4|12&5|331&4|1315&3|121&3|471&4|744&3|10&4|888&4|116&4;1462&3|1153&3|347&4|125&3;1038&3|271&2|166&4|12&5|331&4|1315&3|121&3|471&4|744&3|10&4|888&4|116&4|1462&3|1153&3|347&4|125&3
355&4|879&4|343&3|327&4|272&5|329&3|347&4|286&4|748&4|300&4|316&5|313&5;751&4|689&4|289&5|878&4;355&4|879&4|343&3|327&4|272&5|329&3|347&4|286&4|748&4|300&4|316&5|313&5|751&4|689&4|289&5|878&4
96&4|952&2|137&3|467&4|182&5|201&3|1101&4|408&5|98&4|45&5|1079&2|129&3;488&4|273&4|212&3|70&3;96&4|952&2|137&3|467&4|182&5|201&3|1101&4|408&5|98&4|45&5|1079&2|129&3|488&4|273&4|212&3|70&3
286&4|387&4|744&4|949&4|433&4|77&3|318&5|729&3|568&3|651&4|167&2|277&5;255&4|741&4|1190&3|189&5;286&4|387&4|744&4|949&4|433&4|77&3|318&5|729&3|568&3|651&4|167&2|277&5|255&4|741&4|1190&3|189&5
289&3|873&5|286&5|690&5|288&4|245&4|300&4|937&4|243&5|269&5|305&2|882&5;938&1|322&3|324&2|875&1;289&3|873&5|286&5|690&5|288&4|245&4|300&4|937&4|243&5|269&5|305&2|882&5|938&1|322&3|324&2|875&1
405&3|118&2|284&3|591&5|288&3|93&3|471&3|717&2|411&2|150&3|121&4|1028&1;544&2|186&5|79&5|169&4;405&3|118&2|284&3|591&5|288&3|93&3|471&3|717&2|411&2|150&3|121&4|1028&1|544&2|186&5|79&5|169&4
211&4|132&4|195&4|100&4|581&2|405&5|474&4|414&5|483&3|199&4|269&2|533&3;605&4|1285&3|225&2|436&3;211&4|132&4|195&4|100&4|581&2|405&5|474&4|414&5|483&3|199&4|269&2|533&3|605&4|1285&3|225&2|436&3
926&3|597&3|250&4|840&3|25&3|678&3|100&4|235&4|274&3|260&3|121&4|825&3;568&4|930&3|506&4|820&4;926&3|597&3|250&4|840&3|25&3|678&3|100&4|235&4|274&3|260&3|121&4|825&3|568&4|930&3|506&4|820&4
648&5|505&5|8&3|692&4|479&4|198&4|66&3|98&4|663&4|50&4|100&4|1089&3;204&4|780&1|202&4|580&4;648&5|505&5|8&3|692&4|479&4|198&4|66&3|98&4|663&4|50&4|100&4|1089&3|204&4|780&1|202&4|580&4
1051&4|87&4|96&5|566&4|423&5|644&4|229&1|181&1|1147&5|79&4|628&4|527&4;642&4|5&4|56&5|45&5;1051&4|87&4|96&5|566&4|423&5|644&4|229&1|181&1|1147&5|79&4|628&4|527&4|642&4|5&4|56&5|45&5
132&3|313&4|172&4|174&4|607&5|318&5|83&4|198&1|97&4|222&1|165&3|173&3;164&3|742&4|274&4|282&4;132&3|313&4|172&4|174&4|607&5|318&5|83&4|198&1|97&4|222&1|165&3|173&3|164&3|742&4|274&4|282&4
11&5|866&5|332&5|22&5|259&3|328&5|326&4|655&5|136&4|261&2|100&4|272&5;315&4|271&1|346&1|330&3;11&5|866&5|332&5|22&5|259&3|328&5|326&4|655&5|136&4|261&2|100&4|272&5|315&4|271&1|346&1|330&3
239&3|318&4|740&4|223&4|845&4|25&4|279&4|285&5|515&4|28&5|127&5|638&4;258&4|116&4|287&5|302&4;239&3|318&4|740&4|223&4|845&4|25&4|279&4|285&5|515&4|28&5|127&5|638&4|258&4|116&4|287&5|302&4
748&5|1&4|276&4|181&4|257&2|546&3|118&5|405&5|928&3|282&5|106&2|274&3;472&4|476&4|1199&2|284&1;748&5|1&4|276&4|181&4|257&2|546&3|118&5|405&5|928&3|282&5|106&2|274&3|472&4|476&4|1199&2|284&1
864&1|13&4|1061&2|9&3|293&3|15&3|546&1|150&5|244&3|100&5|515&3|744&4;286&5|475&4|276&4|287&4;864&1|13&4|1061&2|9&3|293&3|15&3|546&1|150&5|244&3|100&5|515&3|744&4|286&5|475&4|276&4|287&4
678&3|520&4|526&4|596&3|462&4|687&2|443&1|275&2|1330&3|64&3|69&3|228&3;890&2|181&1|257&5|455&3;678&3|520&4|526&4|596&3|462&4|687&2|443&1|275&2|1330&3|64&3|69&3|228&3|890&2|181&1|257&5|455&3
127&5|603&5|963&5|482&3|479&5|340&3|483&4|174&4|428&4|238&4|1134&3|481&3;237&4|628&2|50&3|508&5;127&5|603&5|963&5|482&3|479&5|340&3|483&4|174&4|428&4|238&4|1134&3|481&3|237&4|628&2|50&3|508&5
97&4|127&5|483&5|322&2|245&2|179&5|69&3|56&3|223&4|258&2|1500&5|268&2;64&4|50&5|135&5|210&4;97&4|127&5|483&5|322&2|245&2|179&5|69&3|56&3|223&4|258&2|1500&5|268&2|64&4|50&5|135&5|210&4
33&4|196&3|288&2|183&2|227&1|22&4|10&5|433&4|246&4|485&3|705&2|133&5;1060&1|727&5|532&5|771&2;33&4|196&3|288&2|183&2|227&1|22&4|10&5|433&4|246&4|485&3|705&2|133&5|1060&1|727&5|532&5|771&2
402&4|527&3|201&5|615&4|521&4|690&1|479&4|242&4|294&4|507&4|50&5|371&5;487&5|483&5|691&5|286&5;402&4|527&3|201&5|615&4|521&4|690&1|479&4|242&4|294&4|507&4|50&5|371&5|487&5|483&5|691&5|286&5
227&4|423&5|495&4|11&3|196&4|480&4|419&3|378&4|195&5|405&4|96&4|150&5;472&3|951&4|501&3|432&4;227&4|423&5|495&4|11&3|196&4|480&4|419&3|378&4|195&5|405&4|96&4|150&5|472&3|951&4|501&3|432&4
