state;action_reward;n_state
66&3|135&2|485&5|427&5|302&5|603&5|174&4|186&2|479&4|430&5|99&5|160&4;780&3|662&3|728&3|509&4|53&2|675&3|347&4|67&2|28&4|412&3;66&3|135&2|485&5|427&5|302&5|603&5|174&4|186&2|479&4|430&5|99&5|160&4|780&3|662&3|728&3|509&4|53&2|675&3|347&4|67&2|28&4|412&3
879&4|280&3|628&3|935&3|381&3|50&4|332&3|1115&4|475&3|289&2|1251&4|129&4;905&3|1313&3|345&4|1404&3|751&3|736&4|1403&3|355&3|344&4|902&3;879&4|280&3|628&3|935&3|381&3|50&4|332&3|1115&4|475&3|289&2|1251&4|129&4|905&3|1313&3|345&4|1404&3|751&3|736&4|1403&3|355&3|344&4|902&3
327&4|879&4|316&5|748&4|313&5|355&4|302&5|286&4|300&4|989&4|347&4|333&4;878&4|289&5|878&4|751&4|878&4|751&4|878&4|878&4|689&4|289&5;327&4|879&4|316&5|748&4|313&5|355&4|302&5|286&4|300&4|989&4|347&4|333&4|878&4|289&5|878&4|751&4|878&4|751&4|878&4|878&4|689&4|289&5
515&5|98&4|181&3|530&4|276&4|45&5|55&4|32&3|603&4|169&5|1079&2|772&3;273&4|943&3|31&3|724&3|318&4|654&4|735&3|168&3|178&5|735&3;515&5|98&4|181&3|530&4|276&4|45&5|55&4|32&3|603&4|169&5|1079&2|772&3|273&4|943&3|31&3|724&3|318&4|654&4|735&3|168&3|178&5|735&3
241&4|378&4|71&3|420&5|216&4|1119&4|111&2|958&5|91&4|1163&4|22&4|747&4;741&4|1168&4|959&5|315&4|969&5|542&1|255&4|961&5|255&4|905&3;241&4|378&4|71&3|420&5|216&4|1119&4|111&2|958&5|91&4|1163&4|22&4|747&4|741&4|1168&4|959&5|315&4|969&5|542&1|255&4|961&5|255&4|905&3
286&5|294&3|873&5|882&5|300&4|245&4|304&5|288&4|289&3|305&2|332&5|243&5;324&2|938&1|875&1|322&3|938&1|324&2|938&1|938&1|938&1|324&2;286&5|294&3|873&5|882&5|300&4|245&4|304&5|288&4|289&3|305&2|332&5|243&5|324&2|938&1|875&1|322&3|938&1|324&2|938&1|938&1|938&1|324&2
410&4|926&3|619&3|595&4|237&4|100&3|591&5|596&3|280&4|275&4|726&4|1059&3;79&5|318&5|318&5|124&3|318&5|169&4|432&2|544&2|544&2|3&4;410&4|926&3|619&3|595&4|237&4|100&3|591&5|596&3|280&4|275&4|726&4|1059&3|79&5|318&5|318&5|124&3|318&5|169&4|432&2|544&2|544&2|3&4
855&4|526&2|657&3|792&3|302&4|156&3|151&3|2&4|963&5|83&4|510&5|50&5;25&4|225&2|709&3|584&4|1285&3|388&3|436&3|703&4|1425&1|25&4;855&4|526&2|657&3|792&3|302&4|156&3|151&3|2&4|963&5|83&4|510&5|50&5|25&4|225&2|709&3|584&4|1285&3|388&3|436&3|703&4|1425&1|25&4
259&4|825&3|121&4|289&2|181&4|117&4|290&4|472&3|681&4|827&2|678&3|405&3;568&4|1052&4|506&4|820&4|820&4|1052&4|820&4|407&3|506&4|568&4;259&4|825&3|121&4|289&2|181&4|117&4|290&4|472&3|681&4|827&2|678&3|405&3|568&4|1052&4|506&4|820&4|820&4|1052&4|820&4|407&3|506&4|568&4
252&4|238&4|484&4|144&4|153&5|70&5|427&4|181&5|650&3|197&3|216&5|322&4;204&4|202&4|780&1|524&5|514&4|514&4|4&3|580&4|514&4|88&4;252&4|238&4|484&4|144&4|153&5|70&5|427&4|181&5|650&3|197&3|216&5|322&4|204&4|202&4|780&1|524&5|514&4|514&4|4&3|580&4|514&4|88&4
70&4|866&4|476&4|58&4|182&5|357&4|233&4|423&5|471&4|241&4|844&4|553&5;147&5|45&5|134&5|195&5|194&4|642&4|203&3|170&3|134&5|204&4;70&4|866&4|476&4|58&4|182&5|357&4|233&4|423&5|471&4|241&4|844&4|553&5|147&5|45&5|134&5|195&5|194&4|642&4|203&3|170&3|134&5|204&4
483&4|97&4|419&4|222&1|705&4|423&4|191&4|22&3|50&4|603&4|313&4|213&5;121&4|742&4|274&4|496&5|164&3|294&1|742&4|164&3|274&4|496&5;483&4|97&4|419&4|222&1|705&4|423&4|191&4|22&3|50&4|603&4|313&4|213&5|121&4|742&4|274&4|496&5|164&3|294&1|742&4|164&3|274&4|496&5
181&4|22&5|332&5|866&5|678&3|11&5|292&5|259&3|539&3|358&1|261&2|136&4;271&1|346&1|315&4|322&5|289&5|322&5|323&2|271&1|322&5|289&5;181&4|22&5|332&5|866&5|678&3|11&5|292&5|259&3|539&3|358&1|261&2|136&4|271&1|346&1|315&4|322&5|289&5|322&5|323&2|271&1|322&5|289&5
276&4|196&4|181&4|223&4|701&3|160&1|845&4|205&3|127&5|269&5|279&4|514&5;258&4|116&4|237&4|480&4|287&5|447&4|528&4|480&4|116&4|287&5;276&4|196&4|181&4|223&4|701&3|160&1|845&4|205&3|127&5|269&5|279&4|514&5|258&4|116&4|237&4|480&4|287&5|447&4|528&4|480&4|116&4|287&5
288&4|276&4|748&5|117&4|147&5|123&3|866&4|235&5|928&3|50&5|282&5|151&4;760&1|472&4|472&4|284&1|370&3|370&3|760&1|760&1|284&1|1199&2;288&4|276&4|748&5|117&4|147&5|123&3|866&4|235&5|928&3|50&5|282&5|151&4|760&1|472&4|472&4|284&1|370&3|370&3|760&1|760&1|284&1|1199&2
