state;action_reward;n_state
427&5|501&5|127&5|521&3|631&5|154&3|124&4|531&4|699&5|763&1|430&5|484&5;80&3|395&2|579&1|629&2;427&5|501&5|127&5|521&3|631&5|154&3|124&4|531&4|699&5|763&1|430&5|484&5|80&3|395&2|579&1|629&2
333&4|690&4|281&3|60&5|269&3|245&4|310&3|148&3|297&4|874&4|166&4|978&3;1005&5|961&4|1089&2|905&3;333&4|690&4|281&3|60&5|269&3|245&4|310&3|148&3|297&4|874&4|166&4|978&3|1005&5|961&4|1089&2|905&3
748&4|316&5|989&4|328&4|347&4|333&4|286&4|327&4|329&3|302&5|300&4|313&5;751&4|271&4|878&4|689&4;748&4|316&5|989&4|328&4|347&4|333&4|286&4|327&4|329&3|302&5|300&4|313&5|751&4|271&4|878&4|689&4
55&4|117&4|9&4|511&4|86&4|772&3|7&4|527&5|515&5|1&4|467&4|235&2;178&5|212&3|70&3|654&4;55&4|117&4|9&4|511&4|86&4|772&3|7&4|527&5|515&5|1&4|467&4|235&2|178&5|212&3|70&3|654&4
97&4|132&5|167&2|739&3|699&5|727&4|694&5|566&2|114&5|1446&2|845&4|222&3;741&4|255&4|16&5|1117&4;97&4|132&5|167&2|739&3|699&5|727&4|694&5|566&2|114&5|1446&2|845&4|222&3|741&4|255&4|16&5|1117&4
321&3|304&5|288&4|873&5|243&5|305&2|690&5|294&3|245&4|300&4|289&3|286&5;322&3|875&1|938&1|324&2;321&3|304&5|288&4|873&5|243&5|305&2|690&5|294&3|245&4|300&4|289&3|286&5|322&3|875&1|938&1|324&2
412&1|116&3|824&3|276&4|742&2|100&3|273&4|410&4|476&2|717&2|147&4|926&3;186&5|3&4|79&5|210&4;412&1|116&3|824&3|276&4|742&2|100&3|273&4|410&4|476&2|717&2|147&4|926&3|186&5|3&4|79&5|210&4
451&4|213&4|411&3|13&5|554&4|229&4|315&4|902&4|88&4|313&3|630&4|297&5;771&3|1&2|388&3|403&4;451&4|213&4|411&3|13&5|554&4|229&4|315&4|902&4|88&4|313&3|630&4|297&5|771&3|1&2|388&3|403&4
515&5|827&2|1615&2|50&5|825&3|290&4|181&4|358&3|840&3|685&3|274&3|7&3;826&3|568&4|930&3|1052&4;515&5|827&2|1615&2|50&5|825&3|290&4|181&4|358&3|840&3|685&3|274&3|7&3|826&3|568&4|930&3|1052&4
66&3|479&4|199&5|313&4|100&4|98&4|427&4|648&5|198&4|1089&3|207&3|190&5;659&5|202&4|4&3|580&4;66&3|479&4|199&5|313&4|100&4|98&4|427&4|648&5|198&4|1089&3|207&3|190&5|659&5|202&4|4&3|580&4
