item_id;vectors
0;0.10259652|0.8473364|0.12253572|0.4193441|-0.44435358|-0.43300164|-0.38686115|-0.8540684|0.09675148|-0.008129969|0.7773475|0.26561385|0.12685445|1.3004291|-0.15106767|-0.5791645|-0.346618|-0.50373155|-1.3016944|-0.32423067|-0.08593121|0.42093715|-0.43486053|0.5970702|0.39380372|0.067866504|0.108401954|-0.094822474|-0.7394736|-0.34199384|-0.18247|0.22798976|0.39177135|0.290792|-0.16228421|-0.7370634|-0.01952517|-0.5308611|0.17586926|0.26797876|-0.47911942|0.05367714|-0.4600869|-0.05920741|-0.023259282|0.089218885|0.10313338|-0.06767061|1.373087|1.0183668|0.5732903|-0.61230206|-0.17504428|0.7609744|-0.12290858|0.040482305|-0.4147227|-0.036072522|-0.47643784|0.47082245|-0.21916328|-0.37055075|-0.17427903|-1.584161|-0.0043317974|0.3864565|0.31316882|-0.28513262|-0.55112535|0.019280456|0.21937579|0.21583855|0.21245116|0.86119944|0.24831438|-0.048683017|0.45140046|0.8262245|0.659591|-0.05791989|-0.39553443|0.7795262|-0.26804137|0.92616355|0.24056903|-0.26243725|-0.44873583|-0.5342003|0.76813745|-0.538903|-0.8249564|-0.10582541|-0.28136358|0.24377042|-0.7696939|1.0032208|-0.123765245|-0.08739263|0.049568594|-1.0837376
1;0.14940694|0.27884468|0.3948376|0.25641352|-0.6555576|-1.0883783|-0.529951|-0.056906193|-0.28857183|-0.12682082|-0.25048688|-0.24375467|-0.47225115|0.5179825|-0.30535716|-0.08391081|0.069578886|0.34495255|-0.3562181|1.0107303|-0.37715223|0.313313|-0.35523108|-0.26848087|-0.30631885|0.4689287|-0.51469713|-0.2503871|-0.9141978|-0.5803288|0.6341335|-0.26484632|0.287939|0.67743224|-0.3728742|-0.26621887|-0.08506898|-0.41408256|0.15424338|0.31995368|-0.45726156|0.2139467|-0.8365313|0.09538713|0.18827115|0.69370043|0.6020016|0.18351747|0.79502547|0.33349746|0.5710026|-0.2171192|-0.56677705|0.31328303|-0.27782673|0.15044153|-0.32408124|0.5551517|-0.18170063|0.3133843|0.080310926|1.1575696|0.35883087|-0.27839944|-0.24447052|0.38990802|0.5089575|0.035418436|0.3313358|0.23051268|-0.12118876|0.33484155|0.20359395|0.41800615|0.12454082|-0.53505796|-0.12174003|0.4528625|0.7424172|0.39234698|0.5710791|0.4993382|-0.34963316|0.13798214|-0.49834982|0.5149728|-0.5327474|0.30613798|0.51004875|-0.44140875|0.02147998|0.49488205|-0.5642113|0.37638545|-0.4439993|0.091796026|-0.5243521|0.2527963|-0.21212451|0.018132925
2;-0.4462302|0.61655706|-0.42317685|0.19592075|-0.45391905|-0.71906847|-0.5510453|0.5341979|-0.47447866|0.47038054|0.2439009|-0.37679455|-0.33459502|0.5719013|-0.15654038|0.07305206|0.2771889|-0.28695235|-0.5807058|0.261905|0.069689214|0.5104606|-0.87121874|0.059274018|0.7613179|-0.4885769|-0.6601795|-0.6022094|-0.49283904|-0.29570892|0.41712877|0.23711607|-0.015693903|0.47290766|0.10164679|-0.04192084|0.3767115|0.3028668|0.36713636|0.5812425|-0.26968646|0.66854656|-0.75452477|-0.6352149|0.6606293|-0.08656472|0.92740893|0.18729621|0.7783109|0.03437063|0.2589844|0.17010394|-0.37152028|0.05345806|-0.0044713616|-0.204745|-0.19583109|0.32296792|-0.38616067|0.23792517|-0.89848983|0.10889374|0.22878239|-0.16421503|0.19681749|0.27098677|0.3736065|0.18530466|0.15680599|0.031129517|-0.32465735|0.8117941|0.5634071|0.058820397|0.55700713|-0.93835425|-0.020121485|0.61839116|0.61966574|0.4669637|0.064178616|0.2691651|-0.73377967|0.3020907|-0.29039675|0.93464255|-0.37664834|0.53624636|0.5500588|-0.46129453|0.45300144|-0.012954012|-0.4118474|0.43988472|0.073453605|0.91990477|0.10407077|-0.38247025|-0.2840118|0.02022013
3;-0.28220373|0.25483656|0.100721225|0.55245155|-0.10559735|-0.46966764|-0.5765834|0.43455637|0.446446|0.24116203|0.49814856|-0.22248209|-0.6741289|0.2109015|-0.9302826|0.15495653|0.44680077|0.27748284|-0.50770044|0.33125436|-0.45984226|0.62364554|-0.29588217|0.4621849|0.50408626|-0.17040448|-0.6290481|-0.40516117|0.1662586|-0.67839706|0.49596947|-0.29715574|-0.48671094|0.45044896|-0.13065274|-0.42656723|-0.32887477|-0.1868616|0.5827632|0.49325982|-0.30563572|-0.2767855|-0.5569908|-0.008047119|0.7310486|-0.18230644|0.6835326|-0.42617697|0.7903225|-0.11324915|-0.085538|0.30326986|-0.11609225|0.0527788|-0.22081292|0.19094557|-0.08108504|0.43456197|-0.38648647|0.29678354|-0.14791185|0.217988|-0.049559772|0.09578149|0.11670917|0.5030706|0.66870856|-0.29198256|0.62443507|0.115166545|-0.32040566|-0.23834997|0.14039241|0.4002761|0.46652302|-0.72108126|0.115233295|0.41903782|0.39492932|-0.5681647|0.63605416|0.37001196|-0.2753467|0.46420094|-0.21597956|0.67827064|-0.4133856|0.45206323|0.75715756|-0.3158413|0.24951121|0.157658|-0.16831304|0.9723227|-0.60141504|0.09619741|0.101791844|-0.2446437|-0.85514593|-0.44425118
4;-0.3919671|0.9251869|0.23346084|-0.46417028|0.09441683|-0.63616174|-0.42379114|-0.0068478584|-0.23924142|-0.03810121|0.37108442|-0.5230338|-0.31430152|0.6854013|-0.3468293|-0.0071859956|-0.06358566|0.37622902|-0.70794034|0.40235308|-0.6815047|0.7137326|-1.1189437|-0.4634593|0.12857744|0.22910435|0.085965246|0.7232091|-0.20086274|-0.60153145|0.33046794|0.66463405|-0.24022678|0.26363087|0.8832131|-0.045740277|-0.40715247|0.02747881|0.14214097|0.32350588|-0.23873007|0.5406794|0.12437773|0.22517744|0.27132928|0.52542603|0.01075986|-0.15432103|1.1207191|-0.046382695|0.8167136|-0.59496224|-0.51441693|0.23926532|-0.2986143|-0.0018133558|0.16504228|0.33498114|-0.48999798|0.2280524|-0.9976391|0.043445393|0.3378118|0.09129687|-0.5151977|0.76255524|-0.057312638|-0.14836012|-0.36047658|-0.3847518|-0.5637845|0.28070152|0.113476604|0.2871973|0.5554231|-0.39607498|0.33399528|0.82992864|0.6497278|0.9112489|0.4715264|0.5846381|-0.38653558|-0.23471412|-0.50646615|0.12176184|-0.3785318|0.4523571|0.48145568|-0.25302655|0.07652594|0.18963146|-0.10341081|0.17174453|0.22463447|0.22980115|-0.17292912|-0.2295431|-0.3379429|-0.62704533
5;-1.0221748|0.35399964|-0.1463072|0.18068638|-0.61832404|-0.6546654|-0.54392684|0.42768252|-0.07960847|0.42357904|0.096693456|-0.33505866|-0.4085563|0.50768924|-0.29098207|0.36703193|0.22106643|-0.47998217|-0.7971518|-0.10528293|-0.4977095|0.5694897|-0.7037101|-0.2760955|0.27383676|0.40087682|0.081814945|-0.40362507|-0.10611248|-0.6308985|0.62621856|0.45612037|0.09953117|-0.03675741|0.065066546|-0.34040725|-0.28052235|-0.01791022|-0.06858219|1.0497944|0.06457864|0.054745056|0.41549078|-0.6562458|0.7841736|0.8395667|0.12724446|-0.027537|0.5804415|0.1156196|0.2781346|-0.35046747|-0.13031554|0.32202464|-0.18208742|-0.035992123|0.09850448|0.3069891|-0.3814882|0.2011215|-0.31265905|0.43446344|0.108459055|0.033900514|-0.51327085|0.47246283|0.17259742|-1.0436106|-0.046616163|-0.29694796|-0.10079518|-0.06575912|-0.026584595|0.4096935|0.29295877|-0.7962489|-0.019303262|0.22138554|0.47468096|0.7885422|0.18319044|1.0397395|0.043234915|-0.21307743|0.057637006|0.40737742|-0.3179156|0.8202125|0.30890384|-0.36986405|0.2281454|0.49242312|-0.36902648|0.07050742|-0.26226568|-0.04816234|-0.46783566|-0.30029148|-0.48296273|-0.30213603
6;-0.2395141|0.6642691|0.038641606|-0.22852822|-0.4873541|-0.73278165|-0.43091005|-0.2214933|-0.1775817|-0.55076915|0.6915995|0.09482354|-0.5768232|0.008114934|-0.38231656|-0.33892408|0.05244304|-0.84897465|-0.42599478|0.8364525|-1.1268046|0.929633|-0.18756811|0.5445047|0.24031495|0.12463086|-0.49609545|-0.00084929075|-1.1829811|0.39548314|0.58597803|0.9054074|0.16911633|0.34543395|0.20129627|-0.87481487|0.530622|0.96418947|-0.48798802|0.0088249445|-0.4195468|-0.1039197|-0.457946|0.35482094|0.32045785|-0.2581767|1.3467011|-0.14962946|1.2248149|-0.03812644|0.747627|-0.17163512|-0.5905793|-0.6365197|-0.40258643|-1.1913009|0.012766287|0.5191939|0.33383667|-0.053679794|0.22165512|0.35689133|0.17617062|-0.53384197|0.72903705|0.16721894|0.55360115|-0.30715626|0.5419401|-0.025796384|0.12082338|0.10305774|0.16377853|0.39947903|0.28497905|-0.5101582|0.3986187|1.3534547|0.47030675|0.1969744|0.65749544|-0.14016831|0.24499333|-0.049914762|-0.6393801|1.2242342|-0.37456113|0.5491352|-0.28321272|-0.09884256|-0.25602546|-0.08875935|-0.4898311|0.49268782|-0.13239259|-0.10556853|0.3432063|-0.088527665|0.10564625|0.6827171
7;0.10708138|0.40808165|-0.45250008|-0.072142765|-0.245142|-0.65811336|-0.41419417|-0.28978238|-0.48692504|-0.20244093|-0.5961119|-0.16057941|-0.4087113|0.13505256|-0.3423662|-0.017917573|-0.035513073|-0.07286326|-0.46398783|0.92240304|-0.5786103|0.016413093|-0.52663815|-0.646504|0.06850156|0.0600066|-0.26053753|0.0053417794|-0.39448014|-0.45200866|0.3172796|0.296472|-0.05667962|0.437286|-0.08309892|0.0363746|-0.5342355|-0.19436064|0.34977865|0.3181684|-0.49116766|0.46350807|-0.4118101|-0.061333314|0.29876307|0.5284444|-0.31736264|-0.5773604|0.62239474|-0.2850892|0.48619765|0.10587795|-0.3741021|-0.053285815|-0.39208797|0.1721423|0.013968393|0.46804583|0.4823128|0.34547934|-0.21633342|0.7395317|1.1083202|-0.3120597|-0.4536689|-0.15787217|0.5209122|-0.06199129|0.23201057|-0.20141453|-0.7435479|0.57588744|0.58187115|0.31595868|0.8188275|0.24935865|0.065226056|0.34590858|0.5706672|1.3306319|1.1376846|0.8252923|-0.17618333|0.05500818|-0.37965494|0.12706576|-0.36972183|0.31355545|0.9321028|-0.7577587|0.10942|0.18781003|-0.43153104|0.26925057|-0.5663106|0.26456547|0.38382095|-0.04667863|-0.5527758|0.32676342
8;-1.3647285|0.32485968|0.32293937|0.5221443|-1.0020143|-0.70243794|-0.2901018|0.25158215|-0.013185814|-0.07368146|0.7464912|-0.5803903|-0.60003626|0.39100268|-0.72159505|-0.4244814|-0.5927505|0.68966556|-0.1720384|-0.013091385|0.1977906|0.52761024|0.18875334|-0.36993444|-0.20919761|0.3742525|-1.113925|0.14821784|-0.05438873|-1.1352808|1.0303037|0.5406527|-0.0040870607|0.6696745|0.735517|0.35494784|0.3376335|-0.2224574|4.069507e-05|0.86321896|0.12875988|0.20066114|-0.519483|0.02947843|1.0005192|0.68977356|0.3737715|-0.03411775|0.23277134|0.70084906|0.042164624|-0.0403457|-0.6081552|-0.37477285|-0.5637738|-0.3086106|-0.47593915|0.08313662|-0.52749956|0.7076412|-0.6766178|0.015134513|0.8035491|-0.378228|-0.45292228|0.36027735|-0.01762344|-0.68269897|0.22607358|-0.0934222|-0.08952449|0.47743177|0.7623224|0.4356401|-0.07132062|-0.5361931|-0.2088132|-0.25707763|0.8849968|0.35263085|0.80067825|0.6462302|0.7297783|-0.58083475|-0.70804405|0.5429758|0.12037344|0.8345798|0.8892377|-0.4564459|0.81360865|-0.0998428|-0.35991138|0.30637115|-0.2186415|-0.4231968|-0.109262735|0.5218687|-0.47942293|-0.3851302
9;-0.1989162|-0.3276027|-0.1467525|0.074094534|-0.2271579|-0.46509224|-0.2882937|0.05806935|-0.621154|-0.1899489|0.51287144|0.119774014|-0.06298807|0.03303227|-0.069140196|0.031190515|-0.14308316|0.15579395|-0.54072464|0.43470928|0.084917486|0.16138494|-0.18802038|-0.509347|0.12439683|0.3410741|-1.014543|0.63752806|-0.7787005|-0.9810715|0.59712565|0.15683344|0.029585414|0.9482548|-0.08262783|-0.2981928|0.07643236|0.6842716|-0.19240835|0.3818312|0.15017958|0.05812221|0.062010378|-0.08510672|0.078899115|0.7399738|0.13109045|-0.42768654|0.599469|0.35123774|0.4342667|-0.22492401|-0.45210296|0.23263645|-0.12492201|-0.11503216|-0.13488045|0.23823193|0.21495724|0.121060334|-0.5878012|0.09928743|0.16167858|0.044531003|-0.2889156|-0.2889686|0.022570193|-0.5165899|0.73433113|-0.18101281|-0.6526993|-0.059113145|0.36966115|0.78857934|0.36323148|0.22055906|0.036398396|0.39051074|0.5739534|0.74026674|0.38043845|0.6970407|-0.3174167|0.23626906|-0.2563446|0.6797642|-0.35819682|0.98815536|1.1149275|-0.7976918|0.36840478|0.22358513|0.3338176|0.041822523|-0.21076888|0.64892614|-0.25728115|-0.28261167|-0.80538344|-0.007863641
